group1,group2,meandiff,p-adj,lower,upper,reject
0 小時,1 小時,0.0384,0.9648,-0.0812,0.1581,False
0 小時,2 小時,-0.0067,1.0,-0.1258,0.1123,False
0 小時,3 小時,-0.1329,0.0586,-0.2685,0.0026,False
0 小時,4 小時,-0.2289,0.0025,-0.4055,-0.0523,True
0 小時,5 小時以上,-0.3778,0.0,-0.5247,-0.2308,True
0 小時,少於 1 小時,0.0463,0.8818,-0.0646,0.1572,False
1 小時,2 小時,-0.0452,0.9371,-0.1698,0.0794,False
1 小時,3 小時,-0.1714,0.006,-0.3119,-0.0309,True
1 小時,4 小時,-0.2673,0.0003,-0.4477,-0.087,True
1 小時,5 小時以上,-0.4162,0.0,-0.5677,-0.2646,True
1 小時,少於 1 小時,0.0079,1.0,-0.109,0.1248,False
2 小時,3 小時,-0.1262,0.1087,-0.2661,0.0137,False
2 小時,4 小時,-0.2222,0.0051,-0.4021,-0.0422,True
2 小時,5 小時以上,-0.371,0.0,-0.522,-0.22,True
2 小時,少於 1 小時,0.0531,0.8296,-0.0631,0.1693,False
3 小時,4 小時,-0.096,0.7572,-0.2872,0.0953,False
3 小時,5 小時以上,-0.2448,0.0002,-0.4091,-0.0805,True
3 小時,少於 1 小時,0.1793,0.0014,0.0462,0.3124,True
4 小時,5 小時以上,-0.1488,0.2957,-0.3484,0.0507,False
4 小時,少於 1 小時,0.2753,0.0001,0.1006,0.45,True
5 小時以上,少於 1 小時,0.4241,0.0,0.2794,0.5688,True
